2024-09-16 14:02:24,621 - Input file: /srv/beegfs/scratch/shares/cdff/DPM/Postprocessing/DPM_ncfs_Allstack_pws_ZZ.npz
2024-09-16 14:02:24,718 - Output file: /srv/beegfs/scratch/shares/cdff/DPM/Postprocessing/DPM_ncfs_Allstack_pws_ZZ_beam2.npz
2024-09-16 14:02:24,718 - Figure file: /srv/beegfs/scratch/shares/cdff/DPM/Postprocessing/DPM_ncfs_Allstack_pws_ZZ_beam22.png
2024-09-16 14:02:27,557 - freqmin = 0.257 Hz, freqmax = 10.000 Hz
2024-09-16 14:02:52,633 - starting gridpoints: 14641
2024-09-16 14:04:27,028 - counter_grid=100, 94.39443969726562 s elapsed
2024-09-16 14:06:02,640 - counter_grid=200, 190.00703144073486 s elapsed
2024-09-16 14:07:38,198 - counter_grid=300, 285.56490325927734 s elapsed
2024-09-16 14:09:13,422 - counter_grid=400, 380.78854870796204 s elapsed
2024-09-16 14:10:48,621 - counter_grid=500, 475.9876024723053 s elapsed
2024-09-16 14:12:23,995 - counter_grid=600, 571.3614683151245 s elapsed
2024-09-16 14:13:59,641 - counter_grid=700, 667.0077595710754 s elapsed
2024-09-16 14:15:35,173 - counter_grid=800, 762.5402934551239 s elapsed
2024-09-16 14:17:10,926 - counter_grid=900, 858.2931606769562 s elapsed
2024-09-16 14:18:46,321 - counter_grid=1000, 953.6875281333923 s elapsed
2024-09-16 14:20:21,512 - counter_grid=1100, 1048.8790345191956 s elapsed
2024-09-16 14:21:56,200 - counter_grid=1200, 1143.5668005943298 s elapsed
2024-09-16 14:23:31,430 - counter_grid=1300, 1238.797211408615 s elapsed
2024-09-16 14:25:06,199 - counter_grid=1400, 1333.5661981105804 s elapsed
2024-09-16 14:26:41,107 - counter_grid=1500, 1428.4737374782562 s elapsed
2024-09-16 14:28:15,806 - counter_grid=1600, 1523.17280626297 s elapsed
2024-09-16 14:29:50,745 - counter_grid=1700, 1618.1116807460785 s elapsed
2024-09-16 14:31:25,677 - counter_grid=1800, 1713.0436980724335 s elapsed
2024-09-16 14:33:00,603 - counter_grid=1900, 1807.9702286720276 s elapsed
2024-09-16 14:34:35,221 - counter_grid=2000, 1902.5877385139465 s elapsed
2024-09-16 14:36:09,946 - counter_grid=2100, 1997.3128018379211 s elapsed
2024-09-16 14:37:44,859 - counter_grid=2200, 2092.225452184677 s elapsed
2024-09-16 14:39:19,848 - counter_grid=2300, 2187.215329647064 s elapsed
2024-09-16 14:40:54,584 - counter_grid=2400, 2281.950518846512 s elapsed
2024-09-16 14:42:29,034 - counter_grid=2500, 2376.4006054401398 s elapsed
2024-09-16 14:44:03,451 - counter_grid=2600, 2470.8176102638245 s elapsed
2024-09-16 14:45:37,912 - counter_grid=2700, 2565.2794182300568 s elapsed
2024-09-16 14:47:12,656 - counter_grid=2800, 2660.023327112198 s elapsed
2024-09-16 14:48:47,195 - counter_grid=2900, 2754.5615413188934 s elapsed
2024-09-16 14:50:21,517 - counter_grid=3000, 2848.8841319084167 s elapsed
2024-09-16 14:51:56,341 - counter_grid=3100, 2943.7080206871033 s elapsed
2024-09-16 14:53:31,260 - counter_grid=3200, 3038.627272129059 s elapsed
2024-09-16 14:55:06,223 - counter_grid=3300, 3133.5895059108734 s elapsed
2024-09-16 14:56:40,848 - counter_grid=3400, 3228.21515250206 s elapsed
2024-09-16 14:58:15,428 - counter_grid=3500, 3322.7952551841736 s elapsed
2024-09-16 14:59:49,821 - counter_grid=3600, 3417.187557220459 s elapsed
2024-09-16 15:01:24,675 - counter_grid=3700, 3512.04221701622 s elapsed
2024-09-16 15:02:59,281 - counter_grid=3800, 3606.6479647159576 s elapsed
2024-09-16 15:04:33,808 - counter_grid=3900, 3701.174878358841 s elapsed
2024-09-16 15:06:07,990 - counter_grid=4000, 3795.3573937416077 s elapsed
2024-09-16 15:07:41,929 - counter_grid=4100, 3889.2954576015472 s elapsed
2024-09-16 15:09:16,581 - counter_grid=4200, 3983.9479393959045 s elapsed
2024-09-16 15:10:51,297 - counter_grid=4300, 4078.663845062256 s elapsed
2024-09-16 15:12:25,998 - counter_grid=4400, 4173.364520549774 s elapsed
2024-09-16 15:14:00,561 - counter_grid=4500, 4267.928014039993 s elapsed
2024-09-16 15:15:35,377 - counter_grid=4600, 4362.743506908417 s elapsed
2024-09-16 15:17:09,792 - counter_grid=4700, 4457.158743143082 s elapsed
2024-09-16 15:18:44,029 - counter_grid=4800, 4551.39633846283 s elapsed
2024-09-16 15:20:17,905 - counter_grid=4900, 4645.2724096775055 s elapsed
2024-09-16 15:21:52,117 - counter_grid=5000, 4739.484027147293 s elapsed
2024-09-16 15:23:26,747 - counter_grid=5100, 4834.11394739151 s elapsed
2024-09-16 15:25:01,143 - counter_grid=5200, 4928.509506702423 s elapsed
2024-09-16 15:26:35,351 - counter_grid=5300, 5022.71747636795 s elapsed
2024-09-16 15:28:09,569 - counter_grid=5400, 5116.936095237732 s elapsed
2024-09-16 15:29:44,163 - counter_grid=5500, 5211.530331373215 s elapsed
2024-09-16 15:31:18,777 - counter_grid=5600, 5306.143747091293 s elapsed
2024-09-16 15:32:53,073 - counter_grid=5700, 5400.439607858658 s elapsed
2024-09-16 15:34:27,508 - counter_grid=5800, 5494.874648571014 s elapsed
2024-09-16 15:36:01,948 - counter_grid=5900, 5589.314462900162 s elapsed
2024-09-16 15:37:36,262 - counter_grid=6000, 5683.6291534900665 s elapsed
2024-09-16 15:39:11,874 - counter_grid=6100, 5779.241023302078 s elapsed
2024-09-16 15:40:46,115 - counter_grid=6200, 5873.481468915939 s elapsed
2024-09-16 15:42:19,954 - counter_grid=6300, 5967.321166276932 s elapsed
2024-09-16 15:43:54,605 - counter_grid=6400, 6061.971554517746 s elapsed
2024-09-16 15:45:29,318 - counter_grid=6500, 6156.6850435733795 s elapsed
2024-09-16 15:47:03,396 - counter_grid=6600, 6250.763165473938 s elapsed
2024-09-16 15:48:37,578 - counter_grid=6700, 6344.944681406021 s elapsed
2024-09-16 15:50:12,066 - counter_grid=6800, 6439.433071374893 s elapsed
2024-09-16 15:51:46,484 - counter_grid=6900, 6533.851405143738 s elapsed
2024-09-16 15:53:21,101 - counter_grid=7000, 6628.468158245087 s elapsed
2024-09-16 15:54:54,862 - counter_grid=7100, 6722.229306221008 s elapsed
2024-09-16 15:56:29,436 - counter_grid=7200, 6816.802800893784 s elapsed
2024-09-16 15:58:04,026 - counter_grid=7300, 6911.392656326294 s elapsed
2024-09-16 15:59:38,037 - counter_grid=7400, 7005.404056310654 s elapsed
2024-09-16 16:01:12,188 - counter_grid=7500, 7099.5548639297485 s elapsed
2024-09-16 16:02:46,536 - counter_grid=7600, 7193.902814388275 s elapsed
2024-09-16 16:04:21,155 - counter_grid=7700, 7288.52220749855 s elapsed
2024-09-16 16:05:55,843 - counter_grid=7800, 7383.20970082283 s elapsed
2024-09-16 16:07:30,289 - counter_grid=7900, 7477.655555725098 s elapsed
2024-09-16 16:09:04,772 - counter_grid=8000, 7572.13927936554 s elapsed
2024-09-16 16:10:39,470 - counter_grid=8100, 7666.836659193039 s elapsed
2024-09-16 16:12:13,447 - counter_grid=8200, 7760.814247131348 s elapsed
2024-09-16 16:13:48,711 - counter_grid=8300, 7856.078205108643 s elapsed
2024-09-16 16:15:28,189 - counter_grid=8400, 7955.5561583042145 s elapsed
2024-09-16 16:17:07,472 - counter_grid=8500, 8054.8388566970825 s elapsed
2024-09-16 16:18:45,505 - counter_grid=8600, 8152.872133255005 s elapsed
2024-09-16 16:20:22,840 - counter_grid=8700, 8250.206936836243 s elapsed
2024-09-16 16:22:01,870 - counter_grid=8800, 8349.237414360046 s elapsed
2024-09-16 16:23:40,720 - counter_grid=8900, 8448.087196826935 s elapsed
2024-09-16 16:25:18,472 - counter_grid=9000, 8545.839033842087 s elapsed
2024-09-16 16:26:56,812 - counter_grid=9100, 8644.17851614952 s elapsed
2024-09-16 16:28:35,258 - counter_grid=9200, 8742.624792575836 s elapsed
2024-09-16 16:30:14,221 - counter_grid=9300, 8841.58839583397 s elapsed
2024-09-16 16:31:51,489 - counter_grid=9400, 8938.85557937622 s elapsed
2024-09-16 16:33:30,306 - counter_grid=9500, 9037.672520399094 s elapsed
2024-09-16 16:35:09,815 - counter_grid=9600, 9137.18219923973 s elapsed
2024-09-16 16:36:48,320 - counter_grid=9700, 9235.686652421951 s elapsed
2024-09-16 16:38:26,805 - counter_grid=9800, 9334.172042369843 s elapsed
2024-09-16 16:40:05,624 - counter_grid=9900, 9432.990447044373 s elapsed
2024-09-16 16:41:44,884 - counter_grid=10000, 9532.25100684166 s elapsed
2024-09-16 16:43:24,417 - counter_grid=10100, 9631.783836603165 s elapsed
2024-09-16 16:45:01,452 - counter_grid=10200, 9728.818856716156 s elapsed
2024-09-16 16:46:39,124 - counter_grid=10300, 9826.491041183472 s elapsed
2024-09-16 16:48:14,110 - counter_grid=10400, 9921.47652888298 s elapsed
2024-09-16 16:49:48,717 - counter_grid=10500, 10016.083551645279 s elapsed
2024-09-16 16:51:23,190 - counter_grid=10600, 10110.5567278862 s elapsed
2024-09-16 16:52:57,760 - counter_grid=10700, 10205.126452207565 s elapsed
2024-09-16 16:54:32,275 - counter_grid=10800, 10299.641886472702 s elapsed
2024-09-16 16:56:06,336 - counter_grid=10900, 10393.703338623047 s elapsed
2024-09-16 16:57:41,023 - counter_grid=11000, 10488.389933109283 s elapsed
2024-09-16 16:59:16,925 - counter_grid=11100, 10584.292359113693 s elapsed
2024-09-16 17:00:52,286 - counter_grid=11200, 10679.652971029282 s elapsed
2024-09-16 17:02:30,731 - counter_grid=11300, 10778.098284721375 s elapsed
2024-09-16 17:04:09,391 - counter_grid=11400, 10876.758232593536 s elapsed
2024-09-16 17:05:46,019 - counter_grid=11500, 10973.38612818718 s elapsed
2024-09-16 17:07:24,011 - counter_grid=11600, 11071.37786269188 s elapsed
2024-09-16 17:09:02,216 - counter_grid=11700, 11169.582448720932 s elapsed
2024-09-16 17:10:38,526 - counter_grid=11800, 11265.893406867981 s elapsed
2024-09-16 17:12:15,746 - counter_grid=11900, 11363.112535238266 s elapsed
2024-09-16 17:13:51,706 - counter_grid=12000, 11459.07253241539 s elapsed
2024-09-16 17:15:28,692 - counter_grid=12100, 11556.05883216858 s elapsed
2024-09-16 17:17:05,496 - counter_grid=12200, 11652.862450361252 s elapsed
2024-09-16 17:18:42,346 - counter_grid=12300, 11749.713276147842 s elapsed
2024-09-16 17:20:19,182 - counter_grid=12400, 11846.548887252808 s elapsed
2024-09-16 17:21:56,185 - counter_grid=12500, 11943.551788568497 s elapsed
