station,SN
201,05322
196,06524
12,06569
207,06585
217,07111
202,07357
22,14564
208,14938
206,15427
115,15562
203,15730
211,15967
216,16006
181,17952
40,18308
220,18462
38,09629
19,04916
76,16814
120,18042
97,18411
230,09448
225,18157
78,09431
36,10509
185,14625
84,10275
21,10913
29,17227
99,10181
87,18539
210,10916
215,16694
81,17542
20,14648
15,10893
229,09654
214,10205
7,17809
93,10230
213,18463
18,14764
8,10830
86,10330
2,09268
17,09637
94,10817
176,10899
82,15672
92,15350
88,10304
79,10454
47,10798
25,08825
24,10177
75,09218
221,10294
101,10706
183,09270
16,16793
35,10190
77,10359
28,15753
89,14837
26,18536
30,14753
4,16870
5,10199
106,04275
168,10737
118,17456
80,17723
95,17613
137,10373
3,10890
231,10891
102,16788
110,16878
105,09228
1,17858
148,09515
212,10776
83,10409
126,16798
117,14768
98,04973
124,05179
132,18352
111,14457
116,10820
204,04909
49,10740
6,15016
113,15576
198,18365
209,09220
179,18340
205,15255
150,09501
144,15249
133,16203
159,15869
62,10386
143,05283
151,17683
11,18895
199,10202
109,17024
173,10691
228,17534
165,18940
107,10915
158,17455
235,09574
13,15007
10,10841
166,05230
130,10705
65,09548
129,05038
160,10368
178,10197
232,10591
127,16980
175,17859
177,10845
123,10898
114,18531
108,10721
100,14972
63,10524
152,17877
121,14537
122,05338
171,15367
192,14411
142,17724
131,17940
180,14976
172,17930
103,20193
112,10763
64,05441
187,10800
174,09529
119,10221
138,17892
44,10277
125,09410
186,18596
146,15288
135,15729
70,15678
167,14565
156,17282
195,19744
55,10485
41,10399
224,10505
136,17442
52,17273
147,14578
140,09275
200,14605
66,19267
194,03761
71,08936
57,10317
234,10813
67,09769
39,10252
149,17521
23,17878
74,10867
32,18011
141,10358
193,15248
31,10188
50,16598
169,15604
59,14479
72,10421
154,10778
191,10857
134,16507
56,09914
54,07499
222,10495
223,10406
197,17875
233,10430
188,16707
190,18839
145,10215
189,18739
58,17544
164,15884
53,04548
73,09304
69,14712
170,10586
184,17215
162,18843
139,14599
48,10922
51,10753
128,18638
155,20247
33,14461
43,17130
163,15636
68,10278
182,17223
153,16490
60,17929
61,18272
157,09309
161,16970
218,10935
45,17018
219,17016
226,16684
90,10222
42,17853
14,17373
27,10759
227,09806
46,10872
91,09332
85,09508
34,03659
37,10901
9,15907
96,15157
104,16415
